timestamp,model,input_tokens,output_tokens,latency_ms
2026-09-16T16:42:31,model-0,100,50,200.0
2026-09-16T16:42:31,model-0,101,51,210.5
2026-09-16T16:42:31,model-0,102,52,221.0
2026-09-16T16:42:31,model-3,100,50,200.0
2026-09-16T16:42:31,model-1,100,50,200.0
2026-09-16T16:42:31,model-2,100,50,200.0
2026-09-16T16:42:31,model-2,101,51,210.5
2026-09-16T16:42:31,model-2,102,52,221.0
2026-09-16T16:42:31,model-3,101,51,210.5
2026-09-16T16:42:31,model-1,101,51,210.5
2026-09-16T16:42:31,model-1,102,52,221.0
2026-09-16T16:42:31,model-3,102,52,221.0
